File Path,N,K,Iteration,CPU Time,Parallel Time,CPU Hull Size,Parallel Hull Size
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,512,5,74,18.637,17,17
./Testcases/Circle/points_circle_10000000.txt,10000000,128,1,490,26.6829,583,590
./Testcases/Circle/points_circle_10000000.txt,10000000,256,1,490,35.0955,583,582
./Testcases/Circle/points_circle_10000000.txt,10000000,512,1,490,63.9848,583,582
./Testcases/Uniform/points_uniform_10000000.txt,10000000,128,1,1231,21.2554,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,256,1,1231,24.2359,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,512,1,1231,32.033,31,31
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,128,1,148,20.3682,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,256,1,148,23.4062,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,512,1,148,31.1419,15,15
./Testcases/Circle/points_circle_10000000.txt,10000000,128,2,490,26.8814,583,590
./Testcases/Circle/points_circle_10000000.txt,10000000,256,2,490,34.9023,583,582
./Testcases/Circle/points_circle_10000000.txt,10000000,512,2,490,64.2464,583,582
./Testcases/Uniform/points_uniform_10000000.txt,10000000,128,2,1225,21.4851,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,256,2,1225,25.001,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,512,2,1225,31.2012,31,31
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,128,2,147,20.8859,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,256,2,147,24.0565,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,512,2,147,31.2782,15,15
./Testcases/Circle/points_circle_10000000.txt,10000000,128,3,487,26.87,583,590
./Testcases/Circle/points_circle_10000000.txt,10000000,256,3,487,35.4931,583,582
./Testcases/Circle/points_circle_10000000.txt,10000000,512,3,487,64.3576,583,582
./Testcases/Uniform/points_uniform_10000000.txt,10000000,128,3,1234,20.8727,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,256,3,1234,24.6077,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,512,3,1234,32.2933,31,31
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,128,3,149,20.7801,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,256,3,149,23.339,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,512,3,149,30.3534,15,15
./Testcases/Circle/points_circle_10000000.txt,10000000,128,4,488,26.7976,583,590
./Testcases/Circle/points_circle_10000000.txt,10000000,256,4,488,34.7251,583,582
./Testcases/Circle/points_circle_10000000.txt,10000000,512,4,488,64.9362,583,582
./Testcases/Uniform/points_uniform_10000000.txt,10000000,128,4,1231,20.5935,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,256,4,1231,24.4922,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,512,4,1231,32.1832,31,31
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,128,4,148,20.3303,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,256,4,148,23.9325,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,512,4,148,31.3818,15,15
./Testcases/Circle/points_circle_10000000.txt,10000000,128,5,488,26.9073,583,590
./Testcases/Circle/points_circle_10000000.txt,10000000,256,5,488,35.1641,583,582
./Testcases/Circle/points_circle_10000000.txt,10000000,512,5,488,64.9616,583,582
./Testcases/Uniform/points_uniform_10000000.txt,10000000,128,5,1230,21.9044,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,256,5,1230,25.0437,31,31
./Testcases/Uniform/points_uniform_10000000.txt,10000000,512,5,1230,32.5488,31,31
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,128,5,148,20.0618,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,256,5,148,23.8911,15,15
./Testcases/Gaussian/points_gaussian_10000000.txt,10000000,512,5,148,30.6935,15,15
./Testcases/Circle/points_circle_20000000.txt,20000000,128,1,952,46.3018,731,753
./Testcases/Circle/points_circle_20000000.txt,20000000,256,1,952,65.5541,731,734
./Testcases/Circle/points_circle_20000000.txt,20000000,512,1,952,130.612,731,731
./Testcases/Uniform/points_uniform_20000000.txt,20000000,128,1,2767,35.5083,39,48
./Testcases/Uniform/points_uniform_20000000.txt,20000000,256,1,2767,44.6946,39,42
./Testcases/Uniform/points_uniform_20000000.txt,20000000,512,1,2767,59.8095,39,39
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,128,1,302,35.7685,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,256,1,302,43.5687,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,512,1,302,60.0986,19,19
./Testcases/Circle/points_circle_20000000.txt,20000000,128,2,953,47.2512,731,753
./Testcases/Circle/points_circle_20000000.txt,20000000,256,2,953,66.8246,731,734
./Testcases/Circle/points_circle_20000000.txt,20000000,512,2,953,130.941,731,731
./Testcases/Uniform/points_uniform_20000000.txt,20000000,128,2,2760,35.3705,39,48
./Testcases/Uniform/points_uniform_20000000.txt,20000000,256,2,2760,44.0576,39,42
./Testcases/Uniform/points_uniform_20000000.txt,20000000,512,2,2760,59.6961,39,39
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,128,2,302,35.7201,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,256,2,302,43.8633,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,512,2,302,59.4223,19,19
./Testcases/Circle/points_circle_20000000.txt,20000000,128,3,954,46.9532,731,753
./Testcases/Circle/points_circle_20000000.txt,20000000,256,3,954,66.355,731,734
./Testcases/Circle/points_circle_20000000.txt,20000000,512,3,954,131.322,731,731
./Testcases/Uniform/points_uniform_20000000.txt,20000000,128,3,2769,35.8391,39,48
./Testcases/Uniform/points_uniform_20000000.txt,20000000,256,3,2769,44.7344,39,42
./Testcases/Uniform/points_uniform_20000000.txt,20000000,512,3,2769,60.295,39,39
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,128,3,304,35.6056,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,256,3,304,43.7438,19,19
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,512,3,304,59.3339,19,19
./Testcases/Circle/points_circle_20000000.txt,20000000,128,4,954,46.5271,731,753
./Testcases/Circle/points_circle_20000000.txt,20000000,256,4,954,65.6804,731,734
./Testcases/Circle/points_circle_20000000.txt,20000000,512,4,954,130.932,731,731
./Testcases/Uniform/points_uniform_20000000.txt,20000000,128,4,2771,35.6402,39,48
./Testcases/Uniform/points_uniform_20000000.txt,20000000,256,4,2771,44.3972,39,42
./Testcases/Uniform/points_uniform_20000000.txt,20000000,512,4,2771,59.8071,39,39
./Testcases/Gaussian/points_gaussian_20000000.txt,20000000,128,4,302,35.9495,19,19
